x,q
1.24,"(np.float64(0.0), np.float64(0.025284533466146383), np.float64(0.0027316741811610214))"
1.25,"(np.float64(0.0), np.float64(0.026338055693902483), np.float64(0.0028454939387093973))"
1.26,"(np.float64(0.0), np.float64(0.027391577921658583), np.float64(0.002959313696257773))"
1.27,"(np.float64(0.0), np.float64(0.028445100149414683), np.float64(0.0030731334538061494))"
1.28,"(np.float64(0.0), np.float64(0.029498622377170783), np.float64(0.003186953211354525))"
1.29,"(np.float64(0.0), np.float64(0.03055214460492688), np.float64(0.0033007729689029006))"
1.3,"(np.float64(0.0), np.float64(0.031605666832682976), np.float64(0.0034145927264512765))"
1.31,"(np.float64(0.0), np.float64(0.032659189060439076), np.float64(0.0035284124839996527))"
1.32,"(np.float64(0.0), np.float64(0.03371271128819518), np.float64(0.0036422322415480286))"
1.33,"(np.float64(0.0), np.float64(0.03476623351595128), np.float64(0.0037560519990964044))"
1.34,"(np.float64(0.0), np.float64(0.03581975574370738), np.float64(0.0038698717566447807))"
1.35,"(np.float64(0.0), np.float64(0.036873277971463475), np.float64(0.003983691514193156))"
1.3599999999999999,"(np.float64(0.0), np.float64(0.037926800199219575), np.float64(0.004097511271741532))"
1.37,"(np.float64(0.0), np.float64(0.038980322426975675), np.float64(0.004211331029289908))"
1.38,"(np.float64(0.0), np.float64(0.040033844654731775), np.float64(0.004325150786838284))"
1.3900000000000001,"(np.float64(0.0), np.float64(0.041087366882487875), np.float64(0.00443897054438666))"
1.4,"(np.float64(0.0), np.float64(0.042140889110243974), np.float64(0.004552790301935036))"
1.41,"(np.float64(0.0), np.float64(0.04319441133800007), np.float64(0.004666610059483411))"
1.42,"(np.float64(0.0), np.float64(0.04424793356575617), np.float64(0.004780429817031787))"
1.43,"(np.float64(0.0), np.float64(0.04530145579351227), np.float64(0.004894249574580163))"
1.44,"(np.float64(0.0), np.float64(0.046354978021268374), np.float64(0.0050080693321285395))"
1.45,"(np.float64(0.0), np.float64(0.047408500249024474), np.float64(0.005121889089676915))"
1.46,"(np.float64(0.0), np.float64(0.048462022476780574), np.float64(0.005235708847225291))"
1.47,"(np.float64(0.0), np.float64(0.04951554470453667), np.float64(0.005349528604773666))"
1.48,"(np.float64(0.0), np.float64(0.05056906693229277), np.float64(0.005463348362322043))"
1.49,"(np.float64(0.0), np.float64(0.051622589160048866), np.float64(0.005577168119870419))"
1.5,"(np.float64(0.0), np.float64(0.052676111387804966), np.float64(0.0056909878774187945))"
1.51,"(np.float64(0.0), np.float64(0.053729633615561066), np.float64(0.00580480763496717))"
1.52,"(np.float64(0.0), np.float64(0.054783155843317166), np.float64(0.005918627392515546))"
1.53,"(np.float64(0.0), np.float64(0.055836678071073266), np.float64(0.006032447150063923))"
1.54,"(np.float64(0.0), np.float64(0.056890200298829366), np.float64(0.006146266907612299))"
1.55,"(np.float64(0.0), np.float64(0.057943722526585466), np.float64(0.006260086665160675))"
1.56,"(np.float64(0.0), np.float64(0.058997244754341566), np.float64(0.00637390642270905))"
1.5699999999999998,"(np.float64(0.0), np.float64(0.06005076698209766), np.float64(0.006487726180257425))"
1.58,"(np.float64(0.0), np.float64(0.06110428920985376), np.float64(0.006601545937805801))"
1.5899999999999999,"(np.float64(0.0), np.float64(0.06215781143760986), np.float64(0.006715365695354177))"
1.6,"(np.float64(0.0), np.float64(0.06321133366536595), np.float64(0.006829185452902553))"
1.6099999999999999,"(np.float64(0.0), np.float64(0.06426485589312206), np.float64(0.006943005210450929))"
1.62,"(np.float64(0.0), np.float64(0.06531837812087815), np.float64(0.0070568249679993054))"
1.63,"(np.float64(0.0), np.float64(0.06637190034863426), np.float64(0.007170644725547681))"
1.6400000000000001,"(np.float64(0.0), np.float64(0.06742542257639036), np.float64(0.007284464483096057))"
1.65,"(np.float64(0.0), np.float64(0.06847894480414646), np.float64(0.007398284240644433))"
1.6600000000000001,"(np.float64(0.0), np.float64(0.06953246703190256), np.float64(0.007512103998192809))"
1.67,"(np.float64(0.0), np.float64(0.07058598925965866), np.float64(0.0076259237557411855))"
1.6800000000000002,"(np.float64(0.0), np.float64(0.07163951148741476), np.float64(0.007739743513289561))"
1.69,"(np.float64(0.0), np.float64(0.07269303371517084), np.float64(0.007853563270837936))"
1.7,"(np.float64(0.0), np.float64(0.07374655594292695), np.float64(0.007967383028386312))"
1.71,"(np.float64(0.0), np.float64(0.07480007817068304), np.float64(0.008081202785934688))"
1.72,"(np.float64(0.0), np.float64(0.07585360039843915), np.float64(0.008195022543483064))"
1.73,"(np.float64(0.0), np.float64(0.07690712262619524), np.float64(0.00830884230103144))"
1.74,"(np.float64(0.0), np.float64(0.07796064485395135), np.float64(0.008422662058579816))"
1.75,"(np.float64(0.0), np.float64(0.07901416708170744), np.float64(0.008536481816128191))"
