x,q
5.82,"(np.float64(0.09393618640401218), np.float64(0.037718309727028186), np.float64(0.035615163825432894))"
5.83,"(np.float64(0.09508174965284161), np.float64(0.038178289113943165), np.float64(0.03604949509159671))"
5.84,"(np.float64(0.09622731290167102), np.float64(0.03863826850085814), np.float64(0.036483826357760527))"
5.85,"(np.float64(0.09737287615050044), np.float64(0.03909824788777312), np.float64(0.03691815762392434))"
5.86,"(np.float64(0.09851843939932986), np.float64(0.0395582272746881), np.float64(0.03735248889008816))"
5.87,"(np.float64(0.09966400264815928), np.float64(0.04001820666160308), np.float64(0.037786820156251975))"
5.88,"(np.float64(0.1008095658969887), np.float64(0.04047818604851806), np.float64(0.03822115142241579))"
5.89,"(np.float64(0.10195512914581811), np.float64(0.040938165435433035), np.float64(0.03865548268857961))"
5.9,"(np.float64(0.10310069239464753), np.float64(0.041398144822348014), np.float64(0.039089813954743424))"
5.91,"(np.float64(0.10424625564347695), np.float64(0.04185812420926299), np.float64(0.03952414522090724))"
5.92,"(np.float64(0.10539181889230637), np.float64(0.04231810359617797), np.float64(0.03995847648707106))"
5.93,"(np.float64(0.10653738214113578), np.float64(0.04277808298309295), np.float64(0.04039280775323487))"
5.9399999999999995,"(np.float64(0.10768294538996519), np.float64(0.04323806237000792), np.float64(0.04082713901939868))"
5.95,"(np.float64(0.1088285086387946), np.float64(0.0436980417569229), np.float64(0.0412614702855625))"
5.96,"(np.float64(0.10997407188762402), np.float64(0.04415802114383788), np.float64(0.041695801551726315))"
5.97,"(np.float64(0.11111963513645344), np.float64(0.044618000530752856), np.float64(0.04213013281789013))"
5.98,"(np.float64(0.11226519838528286), np.float64(0.045077979917667835), np.float64(0.04256446408405395))"
5.99,"(np.float64(0.11341076163411228), np.float64(0.04553795930458281), np.float64(0.042998795350217764))"
6.0,"(np.float64(0.11455632488294169), np.float64(0.04599793869149779), np.float64(0.04343312661638158))"
6.0,"(np.float64(0.11455632488294169), np.float64(0.04599793869149779), np.float64(-0.05308949915239685))"
6.01,"(np.float64(0.11341076163411228), np.float64(0.04553795930458281), np.float64(-0.05255860416087288))"
6.02,"(np.float64(0.11226519838528286), np.float64(0.045077979917667835), np.float64(-0.052027709169348915))"
6.03,"(np.float64(0.11111963513645344), np.float64(0.044618000530752856), np.float64(-0.051496814177824944))"
6.04,"(np.float64(0.10997407188762402), np.float64(0.04415802114383788), np.float64(-0.05096591918630097))"
6.05,"(np.float64(0.1088285086387946), np.float64(0.0436980417569229), np.float64(-0.05043502419477701))"
6.06,"(np.float64(0.10768294538996519), np.float64(0.04323806237000792), np.float64(-0.04990412920325304))"
6.07,"(np.float64(0.10653738214113577), np.float64(0.04277808298309294), np.float64(-0.04937323421172907))"
6.08,"(np.float64(0.10539181889230637), np.float64(0.04231810359617797), np.float64(-0.0488423392202051))"
6.09,"(np.float64(0.10424625564347695), np.float64(0.04185812420926299), np.float64(-0.04831144422868114))"
6.1,"(np.float64(0.10310069239464753), np.float64(0.041398144822348014), np.float64(-0.04778054923715717))"
6.11,"(np.float64(0.10195512914581811), np.float64(0.040938165435433035), np.float64(-0.047249654245633196))"
6.12,"(np.float64(0.1008095658969887), np.float64(0.04047818604851806), np.float64(-0.046718759254109225))"
6.13,"(np.float64(0.09966400264815928), np.float64(0.04001820666160308), np.float64(-0.04618786426258526))"
6.14,"(np.float64(0.09851843939932986), np.float64(0.0395582272746881), np.float64(-0.04565696927106129))"
6.15,"(np.float64(0.09737287615050044), np.float64(0.03909824788777312), np.float64(-0.04512607427953732))"
6.16,"(np.float64(0.09622731290167102), np.float64(0.03863826850085814), np.float64(-0.044595179288013355))"
6.17,"(np.float64(0.09508174965284161), np.float64(0.038178289113943165), np.float64(-0.044064284296489384))"
6.18,"(np.float64(0.09393618640401219), np.float64(0.03771830972702819), np.float64(-0.04353338930496542))"
6.19,"(np.float64(0.09279062315518277), np.float64(0.037258330340113215), np.float64(-0.04300249431344145))"
6.2,"(np.float64(0.09164505990635335), np.float64(0.036798350953198236), np.float64(-0.042471599321917484))"
6.21,"(np.float64(0.09049949665752394), np.float64(0.03633837156628326), np.float64(-0.04194070433039351))"
6.22,"(np.float64(0.08935393340869452), np.float64(0.03587839217936828), np.float64(-0.04140980933886954))"
6.23,"(np.float64(0.0882083701598651), np.float64(0.0354184127924533), np.float64(-0.04087891434734558))"
6.24,"(np.float64(0.08706280691103568), np.float64(0.03495843340553832), np.float64(-0.04034801935582161))"
6.25,"(np.float64(0.08591724366220627), np.float64(0.034498454018623344), np.float64(-0.039817124364297636))"
6.26,"(np.float64(0.08477168041337685), np.float64(0.034038474631708365), np.float64(-0.03928622937277367))"
6.27,"(np.float64(0.08362611716454743), np.float64(0.03357849524479339), np.float64(-0.0387553343812497))"
6.28,"(np.float64(0.08248055391571801), np.float64(0.03311851585787841), np.float64(-0.03822443938972573))"
6.29,"(np.float64(0.0813349906668886), np.float64(0.03265853647096343), np.float64(-0.03769354439820176))"
6.3,"(np.float64(0.08018942741805918), np.float64(0.03219855708404845), np.float64(-0.037162649406677795))"
6.31,"(np.float64(0.07904386416922976), np.float64(0.03173857769713347), np.float64(-0.036631754415153824))"
6.32,"(np.float64(0.07789830092040034), np.float64(0.031278598310218494), np.float64(-0.03610085942362985))"
6.33,"(np.float64(0.07675273767157093), np.float64(0.030818618923303516), np.float64(-0.03556996443210589))"
6.34,"(np.float64(0.07560717442274151), np.float64(0.030358639536388538), np.float64(-0.03503906944058192))"
6.35,"(np.float64(0.0744616111739121), np.float64(0.029898660149473566), np.float64(-0.03450817444905795))"
6.36,"(np.float64(0.07331604792508269), np.float64(0.029438680762558588), np.float64(-0.03397727945753398))"
6.37,"(np.float64(0.07217048467625327), np.float64(0.02897870137564361), np.float64(-0.03344638446601002))"
6.38,"(np.float64(0.07102492142742385), np.float64(0.02851872198872863), np.float64(-0.03291548947448605))"
6.39,"(np.float64(0.06987935817859443), np.float64(0.028058742601813652), np.float64(-0.032384594482962076))"
6.4,"(np.float64(0.06873379492976502), np.float64(0.027598763214898674), np.float64(-0.03185369949143811))"
6.41,"(np.float64(0.06758823168093561), np.float64(0.027138783827983702), np.float64(-0.03132280449991415))"
6.42,"(np.float64(0.0664426684321062), np.float64(0.026678804441068724), np.float64(-0.030791909508390176))"
6.43,"(np.float64(0.06529710518327678), np.float64(0.026218825054153745), np.float64(-0.03026101451686621))"
6.44,"(np.float64(0.06415154193444736), np.float64(0.025758845667238767), np.float64(-0.029730119525342238))"
6.45,"(np.float64(0.06300597868561794), np.float64(0.025298866280323788), np.float64(-0.02919922453381827))"
6.46,"(np.float64(0.06186041543678852), np.float64(0.02483888689340881), np.float64(-0.028668329542294303))"
6.47,"(np.float64(0.0607148521879591), np.float64(0.02437890750649383), np.float64(-0.02813743455077033))"
6.48,"(np.float64(0.05956928893912968), np.float64(0.023918928119578853), np.float64(-0.027606539559246364))"
6.49,"(np.float64(0.058423725690300264), np.float64(0.023458948732663874), np.float64(-0.027075644567722393))"
6.5,"(np.float64(0.057278162441470847), np.float64(0.022998969345748896), np.float64(-0.026544749576198425))"
6.51,"(np.float64(0.05613259919264143), np.float64(0.022538989958833917), np.float64(-0.026013854584674458))"
6.52,"(np.float64(0.05498703594381201), np.float64(0.02207901057191894), np.float64(-0.025482959593150487))"
6.53,"(np.float64(0.053841472694982594), np.float64(0.02161903118500396), np.float64(-0.02495206460162652))"
6.54,"(np.float64(0.052695909446153176), np.float64(0.021159051798088982), np.float64(-0.024421169610102548))"
6.55,"(np.float64(0.05155034619732376), np.float64(0.020699072411174003), np.float64(-0.02389027461857858))"
6.5600000000000005,"(np.float64(0.05040478294849434), np.float64(0.020239093024259025), np.float64(-0.023359379627054613))"
6.57,"(np.float64(0.04925921969966494), np.float64(0.019779113637344053), np.float64(-0.02282848463553065))"
6.58,"(np.float64(0.04811365645083551), np.float64(0.019319134250429075), np.float64(-0.02229758964400668))"
6.59,"(np.float64(0.046968093202006095), np.float64(0.018859154863514097), np.float64(-0.02176669465248271))"
6.6,"(np.float64(0.04582252995317668), np.float64(0.018399175476599118), np.float64(-0.021235799660958742))"
6.61,"(np.float64(0.04467696670434726), np.float64(0.01793919608968414), np.float64(-0.02070490466943477))"
6.62,"(np.float64(0.04353140345551784), np.float64(0.01747921670276916), np.float64(-0.020174009677910804))"
6.63,"(np.float64(0.042385840206688424), np.float64(0.017019237315854183), np.float64(-0.019643114686386836))"
6.64,"(np.float64(0.04124027695785901), np.float64(0.016559257928939204), np.float64(-0.019112219694862865))"
6.65,"(np.float64(0.04009471370902959), np.float64(0.016099278542024226), np.float64(-0.018581324703338897))"
6.66,"(np.float64(0.03894915046020017), np.float64(0.015639299155109247), np.float64(-0.018050429711814926))"
6.67,"(np.float64(0.037803587211370754), np.float64(0.015179319768194269), np.float64(-0.01751953472029096))"
6.68,"(np.float64(0.036658023962541336), np.float64(0.01471934038127929), np.float64(-0.01698863972876699))"
6.6899999999999995,"(np.float64(0.03551246071371193), np.float64(0.014259360994364317), np.float64(-0.016457744737243027))"
6.7,"(np.float64(0.034366897464882515), np.float64(0.01379938160744934), np.float64(-0.015926849745719056))"
6.71,"(np.float64(0.0332213342160531), np.float64(0.013339402220534362), np.float64(-0.015395954754195088))"
6.72,"(np.float64(0.03207577096722368), np.float64(0.012879422833619383), np.float64(-0.014865059762671119))"
6.73,"(np.float64(0.03093020771839426), np.float64(0.012419443446704405), np.float64(-0.014334164771147151))"
6.74,"(np.float64(0.02978464446956484), np.float64(0.011959464059789426), np.float64(-0.013803269779623182))"
6.75,"(np.float64(0.028639081220735423), np.float64(0.011499484672874448), np.float64(-0.013272374788099213))"
6.76,"(np.float64(0.027493517971906006), np.float64(0.01103950528595947), np.float64(-0.012741479796575243))"
6.77,"(np.float64(0.026347954723076588), np.float64(0.010579525899044491), np.float64(-0.012210584805051274))"
6.78,"(np.float64(0.02520239147424717), np.float64(0.010119546512129513), np.float64(-0.011679689813527306))"
6.79,"(np.float64(0.024056828225417753), np.float64(0.009659567125214534), np.float64(-0.011148794822003337))"
6.8,"(np.float64(0.022911264976588335), np.float64(0.009199587738299556), np.float64(-0.010617899830479368))"
6.8100000000000005,"(np.float64(0.021765701727758914), np.float64(0.008739608351384579), np.float64(-0.010087004838955398))"
6.82,"(np.float64(0.02062013847892951), np.float64(0.008279628964469606), np.float64(-0.009556109847431436))"
6.83,"(np.float64(0.019474575230100093), np.float64(0.007819649577554627), np.float64(-0.009025214855907467))"
6.84,"(np.float64(0.018329011981270675), np.float64(0.007359670190639648), np.float64(-0.008494319864383497))"
6.85,"(np.float64(0.017183448732441257), np.float64(0.00689969080372467), np.float64(-0.007963424872859528))"
6.86,"(np.float64(0.01603788548361184), np.float64(0.006439711416809692), np.float64(-0.0074325298813355594))"
6.87,"(np.float64(0.01489232223478242), np.float64(0.005979732029894713), np.float64(-0.006901634889811591))"
6.88,"(np.float64(0.013746758985953003), np.float64(0.005519752642979735), np.float64(-0.006370739898287622))"
6.89,"(np.float64(0.012601195737123585), np.float64(0.005059773256064756), np.float64(-0.005839844906763653))"
6.9,"(np.float64(0.011455632488294168), np.float64(0.004599793869149778), np.float64(-0.005308949915239684))"
6.91,"(np.float64(0.010310069239464748), np.float64(0.0041398144822348), np.float64(-0.0047780549237157145))"
6.92,"(np.float64(0.00916450599063533), np.float64(0.0036798350953198217), np.float64(-0.004247159932191746))"
6.93,"(np.float64(0.008018942741805913), np.float64(0.0032198557084048432), np.float64(-0.003716264940667777))"
6.9399999999999995,"(np.float64(0.0068733794929765075), np.float64(0.00275987632148987), np.float64(-0.003185369949143814))"
6.95,"(np.float64(0.00572781624414709), np.float64(0.0022998969345748915), np.float64(-0.002654474957619845))"
6.96,"(np.float64(0.004582252995317671), np.float64(0.0018399175476599132), np.float64(-0.002123579966095876))"
6.97,"(np.float64(0.0034366897464882537), np.float64(0.001379938160744935), np.float64(-0.001592684974571907))"
6.98,"(np.float64(0.0022911264976588357), np.float64(0.0009199587738299566), np.float64(-0.001061789983047938))"
6.99,"(np.float64(0.0011455632488294178), np.float64(0.0004599793869149783), np.float64(-0.000530894991523969))"
7.0,"(np.float64(0.0), np.float64(0.0), np.float64(0.0))"
