path_label_1,path_label_2,path_length,path_coordinate,k_1,k_2,k_3,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6
L,G,0.0215582050475203,0.72,0,0.14,-0.14,0.0398572313955236,0.0543897554282994,0.0816747768125419,0.175506675175613,0.201466997727076,0.247155324478147
L,G,0.0215582050475203,0.73,0,0.135,-0.135,0.0385672965294257,0.0526179379472415,0.0790995055118221,0.175657003291301,0.20180359746901,0.248007456231181
L,G,0.0215582050475203,0.74,0,0.13,-0.13,0.0372630757272924,0.0508276753412211,0.0764883175870638,0.1758096059838,0.202133545658865,0.248834281005833
L,G,0.0215582050475203,0.75,0,0.125,-0.125,0.0359450377865536,0.0490196086253228,0.07384229322106,0.175963730086433,0.202456262292266,0.249635149014916
L,G,0.0215582050475203,0.76,0,0.12,-0.12,0.0346136603139828,0.0471943863486325,0.0711625407122087,0.176118627749782,0.202771182068046,0.250409438721775
L,G,0.0215582050475203,0.77,0,0.115,-0.115,0.0332694290696453,0.0453526637302859,0.0684501953626059,0.176273559845718,0.203077755093648,0.251156556357655
L,G,0.0215582050475203,0.78,0,0.11,-0.11,0.0319128373278088,0.0434951018726334,0.065706418389544,0.176427799111632,0.203375447579932,0.251875935467793
L,G,0.0215582050475203,0.79,0,0.105,-0.105,0.0305443852591231,0.0416223670474092,0.0629323958551578,0.176580633044404,0.203663742525115,0.252567036485174
L,G,0.0215582050475203,0.8,0,0.1,-0.1,0.0291645793375569,0.0397351300506205,0.0601293376095483,0.176731366554582,0.203942140387283,0.253229346330922
L,G,0.0215582050475203,0.81,0,0.095,-0.095,0.0277739317748234,0.0378340656217804,0.0572984762432863,0.176879324391949,0.204210159744679,0.253862378040304
L,G,0.0215582050475203,0.82,0,0.09,-0.09,0.0263729599843096,0.0359198519230913,0.0544410660457409,0.177023853354158,0.204467337942735,0.25446567041337
L,G,0.0215582050475203,0.83,0,0.085,-0.085,0.0249621860758925,0.0339931700742308,0.0515583819661993,0.177164324290481,0.204713231726573,0.255038787689251
L,G,0.0215582050475203,0.84,0,0.08,-0.08,0.0235421363824456,0.0320547037384829,0.0486517185752199,0.177300133912874,0.204947417857541,0.255581319243202
L,G,0.0215582050475203,0.85,0,0.075,-0.075,0.0221133410183166,0.0301051387560799,0.045722389024103,0.177430706426638,0.205169493712136,0.256092879305478
L,G,0.0215582050475203,0.86,0,0.07,-0.07,0.0206763334696199,0.0281451628207812,0.0427717240007712,0.177555494992822,0.205379077861548,0.256573106701197
L,G,0.0215582050475203,0.87,0,0.065,-0.065,0.0192316502157798,0.0261754651958789,0.0398010706807133,0.177673983034355,0.205575810629925,0.257021664610335
L,G,0.0215582050475203,0.88,0,0.06,-0.06,0.0177798303814341,0.0241967364660157,0.0368117916719791,0.177785685397571,0.20575935462937,0.257438240347099
L,G,0.0215582050475203,0.89,0,0.055,-0.055,0.0163214154175149,0.0222096683213776,0.0338052639535041,0.177890149380374,0.205929395269634,0.257822545157899
L,G,0.0215582050475203,0.9,0,0.05,-0.05,0.0148569488100828,0.0202149533710285,0.0307828778063115,0.177986955637849,0.206085641240439,0.258174314037237
L,G,0.0215582050475203,0.91,0,0.045,-0.045,0.0133869758152872,0.0182132849823317,0.0277460357373666,0.178075718975536,0.206227824964356,0.258493305560836
L,G,0.0215582050475203,0.92,0,0.04,-0.04,0.011912043218669,0.0162053571435905,0.0246961513960663,0.178156089039984,0.20635570301822,0.258779301735406
L,G,0.0215582050475203,0.93,0,0.035,-0.035,0.0104326991168798,0.014191864347214,0.0216346484835286,0.178227750915525,0.206469056521127,0.259032107864467
L,G,0.0215582050475203,0.94,0,0.03,-0.03,0.00894949271978587,0.0121735014908685,0.0185629596549967,0.178290425635484,0.206567691487131,0.259251552429724
L,G,0.0215582050475203,0.95,0,0.025,-0.025,0.00746297417084956,0.0101509637942345,0.0154825254158151,0.178343870615288,0.206651439140905,0.259437486987511
L,G,0.0215582050475203,0.96,0,0.02,-0.02,0.0059736943836014,0.00812494672911219,0.0123947930115441,0.178387880014109,0.206720156194761,0.259589786079902
L,G,0.0215582050475203,0.97,0,0.015,-0.015,0.00448220489198058,0.00609614596074762,0.0093012153128823,0.178422285030884,0.206773725085604,0.259708347160118
L,G,0.0215582050475203,0.98,0,0.01,-0.01,0.00298905771227656,0.00406525729834641,0.00620324969614004,0.178446954139668,0.206812054170558,0.259793090531917
L,G,0.0215582050475203,0.99,0,0.005,-0.005,0.00149480521437244,0.00203297665283396,0.00310235692008117,0.178461793268412,0.206835077880229,0.25984395930272
L,G,0.0215582050475203,1,0,0,0,0,0,0,0.178466745924367,0.206842756828782,0.259860919350278
G,Z,0.0211579066776737,0,0,0,0,0,0,0,0.178466745924367,0.206842756828782,0.259860919350278
G,Z,0.0211579066776737,0.01,0.005,-0.005,0,0.00165506564836823,0.00189247813342301,0.00246571055493057,0.178467471134229,0.206844838751994,0.259852179326331
G,Z,0.0211579066776737,0.02,0.01,-0.01,0,0.00330994413391519,0.00378482344644473,0.00493079478741702,0.178469642940755,0.206851073927368,0.259825967593558
G,Z,0.0211579066776737,0.03,0.015,-0.015,0,0.0049644481843253,0.00567690287556671,0.0073946265372602,0.178473249870947,0.206861430594982,0.259782309175909
G,Z,0.0211579066776737,0.04,0.02,-0.02,0,0.00661839030954954,0.00756858287112225,0.00985657996887126,0.178478272790496,0.206875855897642,0.259721245802446
G,Z,0.0211579066776737,0.05,0.025,-0.025,0,0.00827158269599263,0.00945972915420408,0.0123160297338383,0.178484684885049,0.206894275994214,0.259642835941111
G,Z,0.0211579066776737,0.06,0.03,-0.03,0,0.00992383710432797,0.011350206473631,0.0147723511338131,0.178492451634461,0.206916596216965,0.25954715484605
G,Z,0.0211579066776737,0.07,0.035,-0.035,0,0.011574964772062,0.0132398783629878,0.0172249202838345,0.178501530780496,0.206942701271568,0.25943429461858
G,Z,0.0211579066776737,0.08,0.04,-0.04,0,0.0132247763218921,0.0151286068977811,0.0196731142761956,0.178511872288559,0.206972455478151,0.259304364281858
G,Z,0.0211579066776737,0.09,0.045,-0.045,0,0.0148730816768239,0.0170162524527867,0.0221163113449815,0.178523418304156,0.20700570305138,0.259157489869332
G,Z,0.0211579066776737,0.1,0.05,-0.05,0,0.0165196899829166,0.0189026734596852,0.0245538910314015,0.178536103104878,0.207042268417349,0.258993814527043
G,Z,0.0211579066776737,0.11,0.055,-0.055,0,0.0181644095403974,0.0207877261650996,0.0269852343500516,0.178549853048773,0.207081956564746,0.258813498629842
G,Z,0.0211579066776737,0.12,0.06,-0.06,0,0.0198070477437613,0.0226712643891794,0.0294097239562483,0.178564586520075,0.207124553427576,0.25861671991155
G,Z,0.0211579066776737,0.13,0.065,-0.065,0,0.0214474110313574,0.0245531392849041,0.031826744314588,0.178580213873284,0.207169826296552,0.258403673609061
G,Z,0.0211579066776737,0.14,0.07,-0.07,0,0.0230853048447832,0.0264331990982914,0.034235681868894,0.178596637376671,0.207217524256126,0.258174572620325
G,Z,0.0211579066776737,0.15,0.075,-0.075,0,0.0247205335982924,0.0283112889297243,0.0366359252137268,0.17861375115629,0.20726737864408,0.257929647676057
G,Z,0.0211579066776737,0.16,0.08,-0.08,0,0.0263529006582453,0.0301872504966248,0.0390268652676476,0.178631441141618,0.207319103530558,0.257669147524962
G,Z,0.0211579066776737,0.17,0.085,-0.085,0,0.027982208332485,0.0320609218977137,0.041407895448438,0.178649585013972,0.207372396213465,0.257393339132067
G,Z,0.0211579066776737,0.18,0.09,-0.09,0,0.0296082578693645,0.0339321373790986,0.0437784118504965,0.178668052158819,0.207426937727272,0.257102507889669
G,Z,0.0211579066776737,0.19,0.095,-0.095,0,0.0312308494659859,0.0358007271024334,0.0461378134246518,0.178686703623154,0.207482393362383,0.256796957840123
G,Z,0.0211579066776737,0.2,0.1,-0.1,0,0.0328497822850794,0.0376665169153833,0.0484855021606494,0.178705392079077,0.207538413192518,0.256477011909524
G,Z,0.0211579066776737,0.21,0.105,-0.105,0,0.034464854479777,0.0395293281246071,0.0508208832725918,0.178723961794729,0.207594632607796,0.256143012150983
G,Z,0.0211579066776737,0.22,0.11,-0.11,0,0.0360758632254121,0.0413889772714388,0.0531433653876367,0.178742248613729,0.207650672851635,0.255795319995872
G,Z,0.0211579066776737,0.23,0.115,-0.115,0,0.0376826047573292,0.0432452759104173,0.0554523607382789,0.178760079944293,0.207706141560025,0.255434316510974
G,Z,0.0211579066776737,0.24,0.12,-0.12,0,0.039284874413564,0.0450980303907571,0.0577472853585734,0.178777274759197,0.207760633302277,0.255060402658974
G,Z,0.0211579066776737,0.25,0.125,-0.125,0,0.0408824666811257,0.0469470416407897,0.0600275592846842,0.17879364360782,0.207813730123009,0.254673999559149
G,Z,0.0211579066776737,0.26,0.13,-0.13,0,0.0424751752445059,0.0487921049553382,0.0622926067601742,0.178808988641499,0.207865002085869,0.254275548744422
G,Z,0.0211579066776737,0.27,0.135,-0.135,0,0.044062793034926,0.0506330097858919,0.0645418564464883,0.178823103653531,0.207914007820347,0.253865512410156
G,Z,0.0211579066776737,0.28,0.14,-0.14,0,0.0456451122787433,0.0524695395333577,0.0667747416391157,0.178835774135208,0.207960295074011,0.253444373649181
G,Z,0.0211579066776737,0.29,0.145,-0.145,0,0.0472219245433345,0.0543014713430464,0.068990700489959,0.178846777349379,0.208003401273583,0.25301263666649
G,Z,0.0211579066776737,0.3,0.15,-0.15,0,0.0487930207786975,0.0561285759014322,0.0711891762364766,0.178855882423165,0.208042854099493,0.252570826965905
G,Z,0.0211579066776737,0.31,0.155,-0.155,0,0.0503581913529284,0.0579506172340839,0.0733696174382132,0.178862850461583,0.208078172079902,0.252119491499728
G,Z,0.0211579066776737,0.32,0.16,-0.16,0,0.0519172260796545,0.0597673525040181,0.0755314782213801,0.178867434684025,0.208108865211658,0.251659198770946
G,Z,0.0211579066776737,0.33,0.165,-0.165,0,0.0534699142354302,0.0615785318095577,0.0776742185321955,0.178869380585723,0.208134435617246,0.251190538876024
G,Z,0.0211579066776737,0.34,0.17,-0.17,0,0.0550160445650276,0.0633838979806069,0.0797973043997552,0.178868426126572,0.208154378248499,0.250714123474645
G,Z,0.0211579066776737,0.35,0.175,-0.175,0,0.0565554052724876,0.0651831863720611,0.0819002082092563,0.178864301949924,0.20816818164965,0.250230585670986
G,Z,0.0211579066776737,0.36,0.18,-0.18,0,0.058087783995708,0.0669761246528639,0.0839824089864631,0.178856731634256,0.208175328794127,0.249740579789302
G,Z,0.0211579066776737,0.37,0.185,-0.185,0,0.05961296776228,0.0687624325890094,0.0860433926943681,0.178845431980919,0.208175298011398,0.249244781024741
